date,population,food
0815-03-21T00:00,32,39922.32570203148,
0815-03-21T00:00,32,40206.03592593221,
0815-03-21T00:00,32,40338.583302628984,
0815-03-21T00:00,32,40602.79754479834,
0815-03-21T00:00,32,40807.52906959792,
0815-03-21T00:00,32,40948.74013974812,
0815-03-21T00:00,32,41197.09093029802,
0815-03-21T00:00,32,41429.48778848438,
0815-03-21T00:00,32,41784.234467811024,
0815-03-21T00:00,32,42147.27704445491,
0815-03-21T00:00,32,42537.003130292476,
0815-03-21T00:00,32,42977.962461224255,
0815-03-21T00:00,32,43241.19864456404,
0815-03-21T00:00,32,43684.223770441415,
0815-03-21T00:00,32,43981.00543378974,
0815-03-21T00:00,32,44207.49717058943,
0815-03-21T00:00,32,44452.33669149432,
0815-03-21T00:00,32,44834.561445544925,
0815-03-21T00:00,32,45276.21365490652,
0815-03-21T00:00,32,45591.66078048873,
0815-03-21T00:00,32,45734.71020916438,
0815-03-21T00:00,32,45885.764881602794,
0815-03-21T00:00,32,46192.445966679,
0815-03-21T00:00,32,46341.31253713518,
0815-03-21T00:00,32,46534.951285918316,
0815-03-21T00:00,32,46859.21265441016,
0815-03-21T00:00,32,47345.30237118059,
0815-03-21T00:00,32,47717.5406793295,
0815-03-21T00:00,32,47958.25940028566,
0815-03-21T00:00,32,48111.9887035419,
0815-03-21T00:00,32,48537.96825332195,
0815-03-21T00:00,32,48933.86709091258,
0815-03-21T00:00,32,49326.30962829944,
0815-03-21T00:00,32,49631.42018469483,
0815-03-21T00:00,32,49924.63296395641,
0815-03-21T00:00,32,50413.52184717231,
0815-03-21T00:00,32,50777.91856143156,
0815-03-21T00:00,32,51169.52563049506,
0815-03-21T00:00,32,51372.34684152831,
0815-03-21T00:00,32,51852.26899149027,
0815-03-21T00:00,32,52272.69215009157,
0815-03-21T00:00,32,52671.91731320166,
0815-03-21T00:00,32,53028.16249464689,
0815-03-21T00:00,32,53317.361641048876,
0815-03-21T00:00,32,53649.001766732035,
0815-03-21T00:00,32,54036.32490785623,
0815-03-21T00:00,32,54368.00332619617,
0815-03-21T00:00,32,54686.69946996341,
0815-03-21T00:00,32,54702.6573865969,
0815-03-21T00:00,32,55209.395375034714,
0815-03-21T00:00,32,55558.954373867185,
0815-03-21T00:00,32,56025.01079529358,
0815-03-21T00:00,32,56325.77892417649,
0815-03-21T00:00,32,56512.2649647516,
0815-03-21T00:00,32,56891.32229526972,
0815-03-21T00:00,32,57285.42800504753,
0815-03-21T00:00,32,57506.030593871,
0815-03-21T00:00,32,57705.84290724976,
0815-03-21T00:00,32,57906.06598979941,
0815-03-21T00:00,32,58129.52529789492,
0815-03-21T00:00,32,58308.99026468841,
0815-03-21T00:00,32,58527.55376208995,
0815-03-21T00:00,32,59019.77735035108,
0815-03-21T00:00,32,59279.624975545776,
0815-03-21T00:00,32,59679.93298065346,
0815-03-21T00:00,32,60086.433786404334,
0815-03-21T00:00,32,60374.57121403067,
0815-03-21T00:00,32,60365.59570165915,
0815-03-21T00:00,32,60808.83221486379,
0815-03-21T00:00,32,61281.94860691977,
0815-03-21T00:00,32,61415.14630826194,
0815-03-21T00:00,32,61752.23492731632,
0815-03-21T00:00,32,62039.37447648188,
0815-03-21T00:00,32,62413.21631137369,
0815-03-21T00:00,32,62754.27675679639,
0815-03-21T00:00,32,62923.21572606785,
0815-03-21T00:00,32,63245.224479128476,
0815-03-21T00:00,32,63639.921802349745,
0815-03-21T00:00,32,63957.609994348975,
0815-03-21T00:00,32,64241.22163642363,
0815-03-21T00:00,32,64398.20839741112,
0815-03-21T00:00,32,64742.8818901882,
0815-03-21T00:00,32,65227.499478270685,
0815-03-21T00:00,32,65586.01465404619,
0815-03-21T00:00,32,65850.76572168028,
0815-03-21T00:00,32,66084.1718108064,
0815-03-21T00:00,32,66338.33052265097,
